Q8,Q10,Q7,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q2,Q3
None at all,No,No,,No,No,No,No,I am most interested in political communication and I’m interested in analyzing political attitudes towards marginalized groups and social attitudes towards celebrities!,either a verb or a noun. verb: to instigate something that otherwise would not have happened. noun: the instagator itself. Ex: The nuclear explosion caused an earthquake ten miles under the sea. The explosion was the cause of the quake. ,"verb: to make something or bring something about. Can also mean to summon something. Ex: during my whittling workshop, I produced this bench. Ex: He produced the notebook from his backpack. 

Can also be a noun meaning vegetables and fruit. Ex: the farmers market sells fresh produce. "
None at all,No,Yes,R,No,No,No,No,"Political Communiction, and Social Media",Cause implies nonspuriousness leading to an effect,Produce implies that  creator has crafted a product using their own means
A lot,No,Yes,"Java, JavaScript, html/css",Yes,Yes,Yes,Yes,Social media communication,,
None at all,No,No,,No,No,No,No,"I'm interested in advertising, marketing, the political economy of media, political communication, internet privacy and data collection, and artificial intelligence and algorithmic culture. I'm interested in seeing how computational text analysis can help expand my study and understanding of communication topics and potentially become a research tool that I can use in the near future.","To instigate or induce, as in to make something happen. 
For example, rainstorms can cause mudslides.","To bring into existence or create.
For example, chemicals can be combined to produce new chemicals."
None at all,No,Yes,"RStudios, R Markdown",No,No,No,Yes,"I am very interested in studying marketing and messaging communication as well as the use of social media in shaping a brand. I hope to pursue a career in business and marketing, potentially focusing on brand management. Using text analysis, I am curious to explore how businesses make product, brand, or messaging related decisions based on consumer preferences and insights.  While understanding the larger topics of marketing and consumer behavior are critical, I also hope to learn how I can use Python to analyze market trends, social media perceptions, and marketing strategies in the future. I'm very excited to explore an entirely new field this semester! ","Cause is something that drives an outcome. For example, eating healthier and exercising will cause a healthier heart and body. Also, spraying perfume will cause the room to smell a certain way.","Produce is an outcome that occurs as a result of something that was caused. It is also to create or build something. For example, the manufacturing company produces thousands of shoes a year. "
A little,No,Yes,"Java, HTML, R ",Yes,No,No,No,I'm particularly interested in marketing communications (which I guess in a certain model can be adjusted to other forms of communication) and the ways in which consumers recommend for other people. ,I define cause (verb) as being the source or reason for an event or action. For instance I pushed the bookshelf onto the floor. This caused all the books and the bookshelf to be on the floor. ,"I define produce (verb) as being to make something, to create something (ie a television show, a newspaper, etc), to show something to someone else, or to be the cause of something.  

In order: 
Ford produces 10,000 F150 trucks per month. 

Marvel studios produced Ant Man and The Wasp. 

I produced the 4 dollar coin from my pocket and showed it to my friend. 

Eating too much food can produce feelings of nausea. "
A moderate amount,Yes,Yes,I took CIS 105 last semester (Python) and am currently enrolled in CIS 110 (Java). ,Yes,No,Yes,No,"I'm interested in media studies generally, but am specifically interested in social media, marketing, design, and data visualization.  I am also interested in political communications and have taken several PSCI/COMM classes so far at Penn.",when actions or words lead to a certain result occurring,when actions or words create or help to create something
None at all,No,No,,No,No,No,No,I am a Linguistics major and an interested in natural language processing.,Describes the act of effecting a change. Object is usually an event or intangible feeling.,Describe the act of making. Object is usually a physical object.
None at all,No,Yes,minimal amounts of Java,No,No,No,No,"social media, social phenomenon, public attitudes (not political)","To cause something means to take an action in order to make another event happen. 

If you tip a glass over, it will break.","To produce something means to intentionally make an action or thing come about by combining more than one element. 

Plants produce their food through photosynthesis, which combines sunlight and water."
None at all,No,Yes,HTML,Yes,Yes,No,No,I'm interested in media and communications. I am intrigued by how it's rapidly changing and how it affects people's lives.,To manipulate,To create a product
None at all,No,Yes,"Java, OCaml, Mathematica",No,No,No,No,"Interested in social media, marketing and social/cultural research. I want to attain some quantitative skills to be able to better understand trends and communities in the internet. ",The reason for the occurrence of a certain event or condition.,Things that have been grown in a farm
A little,Yes,Yes,Powershell,Yes,No,No,No,"Metaphysics & Epistemology, applied to critical theory","A sufficient explanation of a certain reaction to an effect

In billiards, the cueball causes the other balls to move (mechanistic example)

","A sufficient explanation of an outcome from certain effects

The function of an industrial factory is to produce widgets"
None at all,No,Yes,"HTML, CSS",Yes,Yes,No,No,"Interested in entertainment media industries, specifically in branding and advertising. Also interested in digital media technologies, art, and visual communication. Currently curious about children's media and youth media, in particular.

Concerning computational text analysis, I have questions about search engine data, and social media data. ","Cause: to make something existing happen, change, or transform by affecting a variable. 
Ex. I cause an apple to fall from the tree, by shaking it.","Produce: to create something new from where it didn't exist before.
Ex. I produce an apple, by planting the tree, and waiting for it to bear fruit."
,,,,,,,,,,
None at all,No,No,,No,No,No,No,I am interested in analyzing text from aggregated social media posts in order to better understand the nature of how people form opinions online. ,To cause is when a result is produced as a direct response to an action. ,To produce means to create something whether or not there is intentionality in a given action. 
None at all,No,No,,No,No,No,No, , , 
None at all,No,Yes,Java (CIS 110),No,No,No,Yes,"I am interested in social media, particularly tweets. I think that President Trump has uniquely used Twitter as an online platform to boldly and unabashedly communicate his ideas, and I think that it would be interesting to investigate what types of language go viral online.","Definition (v): to engender, make something happen, give rise to

Example: A government shutdown might cause riots by furloughed workers.","Definition (v): to manufacture, to bring into existence

The firm produces ten million units of milk in a given month."
,,,,,,,,,,
A little,No,No,,No,No,No,No,"I am interested in analyzing texts and reviews on blogs and other social media. I have a broad range of interest regarding urban issues. Recently, I have done keyword analysis on pepople's perceptions on space, which inspired me to learn more about text-mining. ","cause: when A leads the result of B, A causes B. 
e.g.) a thunderstorn can cause disaster. ","produce: If A yields B, A produces B. e.g.) A farmer produces crops."
